School,Conf,Viewership,US News
Clemson,ACC,1.7,80
SMU,ACC,0.341,91
Miami (FL),ACC,2.24,63
Syracuse,ACC,0.452,73
Duke,ACC,0.359,6
Louisville,ACC,0.734,175
Georgia Tech,ACC,1.89,33
Boston College,ACC,0.582,37
Virginia Tech,ACC,0.605,175
Pittsburgh,ACC,0.497,70
North Carolina,ACC,0.328,27
North Carolina State,ACC,0.557,58
Virginia,ACC,0.248,24
California,ACC,0.366,17
Wake Forest,ACC,0.292,46
Stanford,ACC,0.478,4
Florida State,ACC,1.64,54
Arizona State,Big 12,0.58,121
Colorado,Big 12,3.55,98
Cincinnati,Big 12,0.413,175
Houston,Big 12,0.443,144
Utah,Big 12,1.19,136
Arizona,Big 12,0.773,109
UCF,Big 12,0.733,121
BYU,Big 12,1.15,109
Iowa State,Big 12,0.857,121
TCU,Big 12,0.705,105
Baylor,Big 12,0.767,91
Texas Tech,Big 12,0.606,175
Kansas State,Big 12,1.38,175
West Virginia,Big 12,0.796,175
Kansas,Big 12,1.223,175
Oklahoma State,Big 12,1.09,175
Oregon,Big Ten,2.466,109
Indiana,Big Ten,1.78,73
Penn State,Big Ten,2.457,63
Ohio State,Big Ten,5.16,41
Illinois,Big Ten,1.273,80
Iowa,Big Ten,1.85,98
Michigan,Big Ten,4.01,21
Minnesota,Big Ten,0.795,54
Rutgers,Big Ten,0.636,41
USC,Big Ten,2.408,27
Washington,Big Ten,1.267,46
Nebraska,Big Ten,2.469,175
Michigan State,Big Ten,0.846,63
UCLA,Big Ten,1.41,15
Wisconsin,Big Ten,1.54,39
Northwestern,Big Ten,0.494,6
Maryland,Big Ten,0.386,44
Purdue,Big Ten,0.88,46
Notre Dame,Ind,2.51,18
Georgia,SEC,5.97,46
Texas,SEC,4.63,30
Tennessee,SEC,3.598,109
Missouri,SEC,0.961,109
Ole Miss,SEC,2.407,175
Alabama,SEC,5.44,136
LSU,SEC,3.58,175
South Carolina,SEC,1.91,121
Texas A&M,SEC,3.37,51
Florida,SEC,3.639,30
Arkansas,SEC,1.59,175
Vanderbilt,SEC,0.423,18
Oklahoma,SEC,2.8,132
Auburn,SEC,2.16,105
Kentucky,SEC,1.48,175
Mississippi State,SEC,0.799,175
